Loan_ID,Customer_ID,Application_Date,Branch,Region,Age,Gender,Occupation,Employment_Years,Annual_Income,Credit_Score,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,EMI,Debt_To_Income_Ratio,LTV_Ratio,Risk_Category,Loan_Status,Collateral,Marital_Status,Dependents,Default_Flag
LN100000,CUST50000,2024-04-07,Pune,East,54,Male,Analyst,30,1581067,546,Business,495976,84,15.48,6818.49,39.1,55.5,High,Active,No,Married,4,0
LN100001,CUST50001,2025-11-19,Pune,West,55,Female,Clerk,31,1076809,749,Auto,1827134,60,8.02,32894.5,43.4,61.7,Medium,Paid,No,Single,3,0
LN100002,CUST50002,2025-04-07,Bengaluru,South,48,Female,Clerk,35,2006968,761,Personal,1392159,180,6.03,8200.59,40.7,72.6,Low,Active,Yes,Married,4,0
LN100003,CUST50003,2024-08-04,Chennai,East,63,Female,Engineer,24,1805643,491,Medical,3400895,24,13.14,160323.86,28.4,89.4,High,Active,No,Single,1,0
LN100004,CUST50004,2024-11-10,Pune,North,54,Female,Clerk,14,262680,496,Medical,174063,24,15.2,8355.02,51.6,46.3,High,Active,Yes,Single,3,0
LN100005,CUST50005,2025-09-22,Pune,North,34,Male,Clerk,5,2370117,848,Business,4533343,36,10.33,138934.37,52.5,44.0,Low,Paid,No,Single,0,0
LN100006,CUST50006,2024-01-06,Kolkata,North,34,Male,Clerk,23,2009156,781,Education,1002618,12,12.26,93794.91,19.0,92.1,Low,Paid,No,Married,3,0
LN100007,CUST50007,2023-07-27,Mumbai,West,32,Female,Engineer,19,1145805,760,Home,2502939,84,13.07,33691.35,43.3,53.5,Low,Defaulted,No,Married,4,1
LN100008,CUST50008,2024-11-20,Delhi,South,23,Female,Clerk,9,1695020,573,Personal,1523217,60,10.97,28171.9,5.8,51.1,High,Delinquent,Yes,Single,3,0
LN100009,CUST50009,2023-12-15,Mumbai,West,31,Female,Manager,11,2369269,493,Personal,870366,84,13.07,11715.75,34.0,66.3,High,Defaulted,Yes,Single,4,1
LN100010,CUST50010,2024-04-07,Hyderabad,South,29,Male,Clerk,4,261046,647,Personal,3435385,180,17.28,22383.44,34.1,79.8,High,Delinquent,Yes,Single,1,0
LN100011,CUST50011,2025-05-13,Mumbai,East,60,Female,Teacher,8,2066548,673,Business,2968652,24,6.93,132265.82,19.2,45.1,Medium,Paid,Yes,Married,0,0
LN100012,CUST50012,2024-06-26,Pune,West,65,Female,Engineer,32,741740,483,Auto,3133578,48,12.5,73443.23,18.2,57.9,High,Delinquent,Yes,Single,3,0
LN100013,CUST50013,2024-04-28,Mumbai,South,58,Male,Analyst,8,486110,580,Personal,2144762,60,7.2,38319.75,25.2,42.1,High,Active,Yes,Married,3,0
LN100014,CUST50014,2023-08-28,Delhi,West,21,Female,Self-employed,25,2337704,692,Education,1037976,36,14.07,32889.42,29.8,56.3,Medium,Paid,Yes,Married,0,0
LN100015,CUST50015,2024-08-20,Kolkata,South,42,Female,Clerk,30,500031,612,Auto,1094967,180,14.83,6985.28,25.8,54.5,High,Active,Yes,Married,0,0
LN100016,CUST50016,2026-07-08,Pune,East,22,Male,Analyst,24,1122059,585,Auto,3154789,12,10.26,289872.53,22.9,54.8,High,Defaulted,No,Single,3,1
LN100017,CUST50017,2023-10-26,Mumbai,North,53,Male,Analyst,25,567218,687,Personal,2054546,36,15.3,65802.54,49.7,65.2,Medium,Active,No,Single,2,0
LN100018,CUST50018,2024-01-25,Chennai,East,28,Female,Doctor,17,2313022,677,Debt Consolidation,1515370,24,9.82,69340.81,27.0,71.7,Medium,Active,No,Married,4,0
LN100019,CUST50019,2023-10-07,Pune,South,34,Female,Manager,1,662351,620,Business,567879,36,9.39,17255.63,50.3,58.8,High,Delinquent,Yes,Married,0,0
LN100020,CUST50020,2025-09-28,Bengaluru,South,45,Male,Manager,34,1469279,571,Auto,2354466,120,10.0,21582.6,51.7,44.9,High,Paid,Yes,Married,1,0
LN100021,CUST50021,2024-09-17,Bengaluru,South,50,Male,Teacher,23,1844024,755,Debt Consolidation,3106070,12,12.95,292358.84,23.0,41.6,Low,Paid,No,Married,2,0
LN100022,CUST50022,2025-11-14,Kolkata,East,61,Female,Self-employed,8,1690176,692,Medical,2312871,12,16.67,224868.88,39.0,68.1,Medium,Active,No,Married,1,0
LN100023,CUST50023,2025-10-27,Pune,South,49,Female,Analyst,18,1909820,535,Home,4275571,36,8.67,129062.86,38.6,82.8,High,Delinquent,No,Single,0,0
LN100024,CUST50024,2024-05-23,Mumbai,South,29,Female,Clerk,13,1825089,688,Personal,2756595,36,12.13,85860.28,47.3,65.4,Medium,Delinquent,Yes,Single,1,0
LN100025,CUST50025,2023-08-08,Delhi,East,29,Female,Analyst,13,1685369,790,Education,2273578,180,10.42,13947.14,52.4,82.7,Low,Delinquent,No,Single,2,0
LN100026,CUST50026,2023-08-30,Bengaluru,North,28,Female,Doctor,18,447818,776,Auto,146190,36,8.85,4420.22,9.5,94.0,Low,Active,No,Single,3,0
LN100027,CUST50027,2025-04-18,Delhi,East,55,Male,Teacher,12,1212891,840,Medical,705731,240,9.39,3216.66,38.4,86.9,Low,Paid,No,Single,4,0
LN100028,CUST50028,2025-12-19,Pune,East,43,Female,Manager,6,995700,512,Home,4175340,24,16.29,202312.62,33.0,93.7,High,Defaulted,No,Married,3,1
LN100029,CUST50029,2024-06-15,Hyderabad,East,30,Female,Clerk,0,421094,502,Auto,4239505,36,15.4,135899.69,39.1,65.0,High,Delinquent,No,Married,4,0
LN100030,CUST50030,2025-05-29,Pune,West,40,Male,Engineer,22,871760,720,Business,4554587,120,14.09,43302.74,20.3,66.8,Medium,Paid,No,Single,1,0
LN100031,CUST50031,2026-04-25,Pune,West,65,Male,Analyst,18,1603948,452,Home,3608947,36,7.51,107777.19,6.8,69.8,High,Paid,Yes,Married,3,0
LN100032,CUST50032,2025-06-26,Kolkata,East,59,Female,Clerk,32,1842439,798,Auto,2860488,24,12.62,134228.4,29.8,51.2,Low,Paid,No,Married,4,0
LN100033,CUST50033,2023-09-20,Mumbai,West,31,Male,Engineer,16,1097066,748,Home,1540220,120,11.11,14261.15,51.8,71.3,Medium,Paid,Yes,Single,2,0
LN100034,CUST50034,2025-01-26,Delhi,North,60,Male,Analyst,22,735009,514,Home,2923039,12,13.37,276154.11,25.4,82.8,High,Defaulted,Yes,Married,4,1
LN100035,CUST50035,2024-04-10,Mumbai,North,42,Female,Clerk,11,1265855,822,Education,514989,120,11.89,4801.84,41.8,62.5,Low,Paid,No,Married,4,0
LN100036,CUST50036,2024-10-21,Hyderabad,South,62,Female,Clerk,25,2337848,507,Business,2015855,12,13.89,191321.44,11.7,73.2,High,Delinquent,No,Single,1,0
LN100037,CUST50037,2024-11-22,Pune,South,42,Male,Doctor,8,1010476,765,Medical,1432670,36,11.64,44428.69,58.1,42.1,Low,Defaulted,Yes,Single,0,1
LN100038,CUST50038,2024-11-09,Pune,South,42,Male,Clerk,3,1165312,686,Debt Consolidation,2236855,240,12.11,10448.91,15.6,86.8,Medium,Paid,No,Single,2,0
LN100039,CUST50039,2024-01-26,Chennai,West,59,Male,Manager,0,2280860,707,Medical,746458,84,12.52,9998.98,24.7,92.6,Medium,Active,Yes,Married,1,0
LN100040,CUST50040,2025-07-23,Kolkata,South,37,Male,Engineer,8,624109,565,Personal,3908841,24,7.31,174774.05,8.4,54.8,High,Delinquent,Yes,Single,0,0
LN100041,CUST50041,2024-12-07,Mumbai,North,54,Male,Self-employed,8,1156279,650,Debt Consolidation,3233119,180,16.21,20873.38,28.2,73.2,Medium,Active,Yes,Single,0,0
LN100042,CUST50042,2023-11-23,Hyderabad,East,32,Female,Analyst,9,1403582,689,Auto,3241162,120,7.46,29024.61,37.6,72.8,Medium,Defaulted,Yes,Married,0,1
LN100043,CUST50043,2026-03-12,Delhi,South,21,Female,Manager,35,2291496,545,Debt Consolidation,4397783,60,10.52,81007.16,36.2,60.2,High,Active,Yes,Single,2,0
LN100044,CUST50044,2026-04-06,Delhi,North,35,Female,Clerk,2,1660803,778,Auto,3291420,60,10.49,60611.5,43.4,64.9,Low,Paid,Yes,Married,4,0
